 NCBI accesion,BioProject,link,SRA ID,RUN,Spots,Bases
SAMN30102630,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102630,SRS14396881,SRR20749801,"342,575",97.5M
SAMN30102631,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102631,SRS14396882,SRR20749800,"450,104",128.3M
SAMN30102632,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102632,SRS14396883,SRR20749799,"345,972",102.7M
SAMN30102633,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102633,SRS14396884,SRR20749798,"589,899",166.6M
SAMN30102634,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102634,SRS14396885,SRR20749797,1M,282.7M
SAMN30102635,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102635,SRS14396886,SRR20749796,1.1M,289.1M
SAMN30102636,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102636,SRS14396888,SRR20749794,1.5M,420.9M
SAMN30102637,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102637,SRS14396889,SRR20749793,1M,281.3M
SAMN30102638,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102638,SRS14396890,SRR20749792,1.2M,340.5M
SAMN30102639,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102639,SRS14396891,SRR20749791,"789,879",217.6M
SAMN30102640,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102640,SRS14396892,SRR20749790,1.5M,411.1M
SAMN30102641,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102641,SRS14396893,SRR20749789,"905,853",257M
SAMN30102642,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102642,SRS14396894,SRR20749788,1.7M,446M
SAMN30102643,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102643,SRS14396767,SRR20749915,1.7M,443.8M
SAMN30102644,PRJNA865262,https://www.ncbi.nlm.nih.gov/biosample/30102644,SRS14396768,SRR20749914,1.3M,372.4M
